{X 89.8209, Y -11.9914, Z -292.5762, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -10.5799, Z -293.9945, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -9.8744, Z -294.2888, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 28.0441, Z -294.3804, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 30.6768, Z -294.9102, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 32.9163, Z -296.3922, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 34.4299, Z -298.6013, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 35.0033, Z -301.2172, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 35.3830, Z -320.0508, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 37.2010, Z -326.1899, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 41.8972, Z -330.5418, A 0, B 0,  C 0}, grFeedrate 127.32}
